description,category
taxi toll,Transport
drank fried chicken takeout,Food
youtube subscription,Others
new necklace shopping,Shopping
science membership,Study
noodles at restaurant,Food
pizza at gong cha,Food
bought bracelet from gucci,Shopping
new phone shopping,Shopping
bought razor from adidas,Shopping
motorbike trip to station,Transport
cab repair,Transport
train cleaning,Transport
textbook for programming,Study
icloud subscription,Others
bought diary,Study
datacamp for data science,Study
electricity bill,Others
iced americano from local cafe,Food
course for science,Study
ticket ticket,Others
bought razor from gucci,Shopping
watch for formal events,Shopping
bus parking,Transport
ordered latte alone,Food
fuel for cab,Transport
adobe subscription,Others
mortgage bill,Others
pencil for programming,Study
bought edx,Study
bought dictionary,Study
water bill,Others
charging for car,Transport
charging for grab,Transport
mai linh wash,Transport
marketing tuition,Study
coursera for music,Study
wifi bill,Others
coke at kfc,Food
new phone shopping,Shopping
festival ticket,Others
new razor shopping,Shopping
drank tteokbokki date,Food
novel for design,Study
mortgage bill,Others
bought lipstick from nike,Shopping
grab booking to airport,Transport
bought datacamp,Study
petrol for suv,Transport
gojek oil change,Transport
course for programming,Study
dentist fee,Others
new vest shopping,Shopping
business school fee,Study
adobe subscription,Others
pharmacy fee,Others
barber fee,Others
calculator for marketing,Study
lunch with friends,Food
newspaper subscription,Others
class for english,Study
newspaper subscription,Others
fitness subscription,Others
bought hoodie from shopee,Shopping
gas for taxi,Transport
motorbike booking to home,Transport
match ticket,Others
office 365 subscription,Others
new beanie shopping,Shopping
english tuition,Study
dentist fee,Others
paid for xoi for dinner,Food
had beer takeout,Food
art membership,Study
youtube subscription,Others
enjoyed pepsi with friends,Food
new monitor shopping,Shopping
bought training,Study
motorbike trip to work,Transport
training for music,Study
drank beer for dinner,Food
bought udemy,Study
bought ruler,Study
phone bill,Others
comic for science,Study
buy grocery at whole foods,Food
ordered ice cream for breakfast,Food
flight ticket to station,Transport
bill for bibimbap alone,Food
ate dim sum party,Food
ordered latte party,Food
bought coke for breakfast,Food
maintenance fee,Others
wine at diner,Food
diary for marketing,Study
be cleaning,Transport
movie ticket,Others
english certification fee,Study
python printing,Study
coke at lotte,Food
petrol for grab,Transport
new soap shopping,Shopping
hospital fee,Others
event ticket,Others
flight wash,Transport
new tablet shopping,Shopping
drank latte for lunch,Food
had rice meeting,Food
vinasun repair,Transport
new earrings shopping,Shopping
ice cream at lotte,Food
new shampoo shopping,Shopping
taxi booking to office,Transport
burger at phuc long,Food
suv service,Transport
bike ride to home,Transport
spotify subscription,Others
train tire change,Transport
bought toeic,Study
bought watch from gucci,Shopping
cab booking to mall,Transport
petrol for grab,Transport
ordered americano date,Food
new socks shopping,Shopping
new conditioner shopping,Shopping
bought dim sum delivery,Food
mai linh toll,Transport
bought face wash from uniqlo,Shopping
train fare to school,Transport
car battery jump start,Transport
course for english,Study
bought tablet from zara,Shopping
yoga subscription,Others
flight trip to work,Transport
smartwatch with heart rate,Shopping
bought scarf from supermarket,Shopping
insurance bill,Others
ate soju date,Food
yoga subscription,Others
newspaper subscription,Others
sedan ticket to office,Transport
wifi bill,Others
car oil change,Transport
bought speaker from gucci,Shopping
bank account monthly fee,Others
new hoodie shopping,Shopping
ate milk tea with family,Food
phone bill,Others
drank noodles for breakfast,Food
enjoyed latte with family,Food
bill for whisky date,Food
bought body wash from h&m,Shopping
car maintenance,Transport
programming membership,Study
subway fare to school,Transport
uber ticket to work,Transport
bought phone from shopee,Shopping
new sunglasses shopping,Shopping
ate fish takeout,Food
new jacket shopping,Shopping
had beer for lunch,Food
bought edx,Study
gas for motorbike,Transport
office 365 subscription,Others
bought notebook,Study
bun cha at family mart,Food
ate croissant snack,Food
new lipstick shopping,Shopping
new body wash shopping,Shopping
business exam fee,Study
bought scarf from shopee,Shopping
oil for plane,Transport
new boots shopping,Shopping
cookie at street food,Food
new body wash shopping,Shopping
data science exam fee,Study
fuel for suv,Transport
cinema ticket,Others
lesson for marketing,Study
subway journey to mall,Transport
ate latte for breakfast,Food
new luggage shopping,Shopping
calculator for marketing,Study
calculator for math,Study
smoothie at winmart,Food
doctor fee,Others
bought pen from mall,Shopping
gas for bike,Transport
plane wash,Transport
pho at subway,Food
bought deodorant from supermarket,Shopping
bought shoes from tiki,Shopping
uber ticket to mall,Transport
new hoodie shopping,Shopping
bought udemy,Study
new lipstick shopping,Shopping
enjoyed smoothie date,Food
bought ice cream alone,Food
new blouse shopping,Shopping
bought ice cream with friends,Food
concert ticket,Others
be toll,Transport
cleaning fee,Others
water bill,Others
new sandals shopping,Shopping
event ticket,Others
new keyboard shopping,Shopping
paid for cocktail alone,Food
bought bibimbap snack,Food
academic journal access,Study
be tire change,Transport
metro booking to home,Transport
coffee mug and coaster,Shopping
spotify subscription,Others
eggs at supermarket,Food
bought cologne from chanel,Shopping
had sashimi party,Food
new power bank shopping,Shopping
cab rental to home,Transport
drank cookie for dinner,Food
plane parking,Transport
english tuition,Study
internet bill,Others
calculator for programming,Study
loan bill,Others
bought bag from store,Shopping
billiards ticket,Others
mai linh ticket to airport,Transport
bought jacket from chanel,Shopping
milk at burger king,Food
yoga subscription,Others
novel for art,Study
new t-shirt shopping,Shopping
cab ticket to downtown,Transport
marketing membership,Study
bought blouse from shopee,Shopping
design exam fee,Study
cable bill,Others
suv toll,Transport
cable bill,Others
internet bill,Others
bought diary,Study
be trip trip,Transport
bought shirt from uniqlo,Shopping
zoo ticket,Others
design printing,Study
office 365 subscription,Others
drank banh mi with friends,Food
bike booking to home,Transport
metro ticket trip,Transport
spotify subscription,Others
bun bo hue at ministop,Food
new suit shopping,Shopping
fitness subscription,Others
gym subscription,Others
haircut and styling fee,Others
haircut fee,Others
ruler for science,Study
airline ticket to mall,Transport
gas for taxi,Transport
bought gloves from gucci,Shopping
bill for soda for dinner,Food
had eggs for dinner,Food
had udon meeting,Food
bill for kimbap for dinner,Food
xoi at cafe,Food
ordered ice cream snack,Food
bought luggage from shop,Shopping
new skirt shopping,Shopping
bike journey to downtown,Transport
new sandals shopping,Shopping
ordered starbucks caramel macchiato,Food
bought planner,Study
be booking to office,Transport
whisky at dominos,Food
seminar for art,Study
gas bill,Others
bought body wash from adidas,Shopping
cold brew at bistro,Food
bike toll,Transport
fuel for uber,Transport
mai linh cleaning,Transport
plane trip to office,Transport
bought shoes from chanel,Shopping
marker for music,Study
bought planner,Study
webinar for english,Study
vegan salad bowl for lunch,Food
charging for scooter,Transport
new cable shopping,Shopping
water bill,Others
buying books,Study
mobile bill,Others
enjoyed com tam meeting,Food
suv maintenance,Transport
bought tteokbokki snack,Food
ux design toolkit,Study
airline repair,Transport
had beer snack,Food
coke at convenience store,Food
internet bill,Others
bought wallet from amazon,Shopping
pharmacy fee,Others
new smartphone shopping,Shopping
new cap shopping,Shopping
coding membership,Study
new heels shopping,Shopping
scooter service,Transport
course for art,Study
bought dictionary,Study
charging for train,Transport
music photocopy,Study
barber fee,Others
tv bill,Others
gas for be,Transport
charging for metro,Transport
sedan fare to home,Transport
bike ride to school,Transport
oil for taxi,Transport
had cake meeting,Food
bought cap from amazon,Shopping
office 365 subscription,Others
pharmacy fee,Others
zoo ticket,Others
bought shirt from adidas,Shopping
new cap shopping,Shopping
sedan tire change,Transport
bill for smoothie snack,Food
uber maintenance,Transport
data science school fee,Study
fried chicken at supermarket,Food
art tuition,Study
repair fee,Others
sedan service,Transport
steakhouse dinner date,Food
bought planner,Study
mortgage bill,Others
haircut fee,Others
yoga subscription,Others
new bracelet shopping,Shopping
whisky at diner,Food
new flower shopping,Shopping
croissant at cafe,Food
petrol for bike,Transport
sedan trip to station,Transport
enjoyed tempura meeting,Food
pharmacy fee,Others
soju at restaurant,Food
new blazer shopping,Shopping
paid for cocktail for breakfast,Food
mortgage bill,Others
yoga mat for home gym,Shopping
gojek fare to downtown,Transport
game ticket,Others
business printing,Study
coding photocopy,Study
science printing,Study
bought calculator,Study
movie ticket,Others
drank fruits for lunch,Food
airline tire change,Transport
ordered whisky for breakfast,Food
drank udon delivery,Food
bought necklace from chanel,Shopping
gas for metro,Transport
phone bill,Others
fish at family mart,Food
gas for scooter,Transport
rent bill,Others
cab service,Transport
bought seminar,Study
fitness subscription,Others
ordered whisky snack,Food
had wine delivery,Food
bought noodles takeout,Food
wedding gift for friend,Others
new shorts shopping,Shopping
bought lipstick from shop,Shopping
boots for rainy season,Shopping
magazine subscription,Others
bought planner,Study
bought face wash from supermarket,Shopping
bought pepsi delivery,Food
repair fee,Others
mobile bill,Others
bought notebook,Study
charging for be,Transport
smoothie at mcdonalds,Food
bought belt from h&m,Shopping
ordered seafood delivery,Food
bought book from market,Shopping
art exam fee,Study
toefl for english,Study
bubble tea with pearls,Food
bought gift from uniqlo,Shopping
bought marker,Study
charging for sedan,Transport
bought earrings from store,Shopping
museum ticket,Others
bought shorts from chanel,Shopping
music certification fee,Study
bun cha at burger king,Food
milk tea at convenience store,Food
repair fee,Others
marketing photocopy,Study
scooter maintenance,Transport
soda at family mart,Food
new socks shopping,Shopping
airline booking trip,Transport
mobile bill,Others
math photocopy,Study
bill for steak snack,Food
sedan booking to home,Transport
pepsi at highlands,Food
drank vegetables meeting,Food
new beanie shopping,Shopping
metro trip to mall,Transport
google drive subscription,Others
fuel for vinasun,Transport
medicine fee,Others
cleaning fee,Others
pastries from french bakery,Food
mai linh journey to work,Transport
new paper shopping,Shopping
bought belt from market,Shopping
english subscription,Study
pho at food court,Food
loan bill,Others
bill for cocktail with family,Food
new monitor shopping,Shopping
bought toefl,Study
haircut fee,Others
bought udemy,Study
new earphones shopping,Shopping
new slippers shopping,Shopping
textbook for music,Study
had vodka takeout,Food
icloud subscription,Others
donated to red cross,Others
wifi bill,Others
boba tea at restaurant,Food
gas for bike,Transport
concert ticket,Others
phone bill,Others
new hat shopping,Shopping
grab food delivery fee,Food
new shoes shopping,Shopping
water bill,Others
new keyboard shopping,Shopping
gas for gojek,Transport
bought highlighter,Study
paid for cake for lunch,Food
matcha latte with oat milk,Food
mobile bill,Others
drank eggs meeting,Food
ate espresso takeout,Food
bought case from store,Shopping
diesel for scooter,Transport
bought workshop,Study
coding membership,Study
new jeans shopping,Shopping
motorbike cleaning,Transport
bought coat from nike,Shopping
class for math,Study
bought power bank from market,Shopping
xoi at mcdonalds,Food
oil for suv,Transport
taxi journey to home,Transport
new bracelet shopping,Shopping
dumplings at bistro,Food
ice cream at diner,Food
internet bill,Others
metro repair,Transport
netflix subscription,Others
udemy for coding,Study
workshop for data science,Study
bought dictionary,Study
popeyes chicken sandwich,Food
bought burger for lunch,Food
mai linh fare to work,Transport
mortgage bill,Others
class for science,Study
bought purse from gucci,Shopping
ice cream at winmart,Food
drank seafood snack,Food
bought case from market,Shopping
plane cleaning,Transport
scooter maintenance,Transport
newspaper subscription,Others
motorbike parking,Transport
taxi trip trip,Transport
drank burger for dinner,Food
uber rental to downtown,Transport
coke at ministop,Food
enjoyed pepsi snack,Food
bought belt from h&m,Shopping
apple music subscription,Others
spotify subscription,Others
seminar for data science,Study
newspaper subscription,Others
smoothie at jollibee,Food
motorbike booking to work,Transport
bought lesson,Study
bought planner,Study
coursera for math,Study
bought tablet from amazon,Shopping
billiards ticket,Others
train wash,Transport
printed research papers,Study
cinema ticket,Others
buy calculus textbook,Study
netflix subscription,Others
ordered cookie for lunch,Food
motorbike ride to home,Transport
taxi parking,Transport
new gloves shopping,Shopping
ordered wine meeting,Food
new luggage shopping,Shopping
had tempura meeting,Food
bought cap from lazada,Shopping
water bill,Others
bought edx,Study
dentist fee,Others
python test fee,Study
suv fare to home,Transport
bought sandals from uniqlo,Shopping
bought fruits for lunch,Food
grab journey to mall,Transport
design membership,Study
bought lipstick from market,Shopping
diary for science,Study
medicine fee,Others
pedicure fee,Others
dentist fee,Others
sedan parking,Transport
seafood at food court,Food
new case shopping,Shopping
bought eraser,Study
enjoyed fruit tea for lunch,Food
bought book,Study
internet bill,Others
gojek tire change,Transport
bought meat party,Food
bill for beer for lunch,Food
uber ticket to downtown,Transport
flight wash,Transport
oil for airline,Transport
had pizza takeout,Food
internet bill,Others
macchiato at supermarket,Food
petrol for grab,Transport
marketing membership,Study
diary for art,Study
adobe subscription,Others
internet bill,Others
hospital fee,Others
new sneakers shopping,Shopping
fruits at highlands,Food
bought power bank from shopee,Shopping
enjoyed coffee for dinner,Food
bought pen from adidas,Shopping
online workshop on ai,Study
running shorts and gear,Shopping
yogurt at food court,Food
new lotion shopping,Shopping
new earphones shopping,Shopping
gas for sedan,Transport
bought purse from zara,Shopping
data science exam fee,Study
bought belt from h&m,Shopping
oil for airline,Transport
bought hoodie from tiki,Shopping
bought headphones from amazon,Shopping
new purse shopping,Shopping
bought shampoo from mall,Shopping
python school fee,Study
oil for bus,Transport
paid for boba tea with friends,Food
office 365 subscription,Others
cab rental to mall,Transport
new cologne shopping,Shopping
cab ride to home,Transport
art subscription,Study
bought sunglasses from shop,Shopping
bought soap from gucci,Shopping
diesel for train,Transport
bought shorts from gucci,Shopping
new cable shopping,Shopping
bun cha at texas chicken,Food
game ticket,Others
paid for fried chicken takeout,Food
bill for tteokbokki party,Food
casual hoodies for autumn,Shopping
new game shopping,Shopping
bought case from h&m,Shopping
manicure fee,Others
bought diary,Study
bought watch from market,Shopping
massage fee,Others
enjoyed fish delivery,Food
tv bill,Others
bought book from uniqlo,Shopping
charging for grab,Transport
mai linh trip to home,Transport
bought face wash from h&m,Shopping
magazine subscription,Others
hospital fee,Others
tax bill,Others
flight repair,Transport
gym subscription,Others
diary for data science,Study
hospital fee,Others
bought training,Study
programming test fee,Study
scooter ride trip,Transport
marketing test fee,Study
data science photocopy,Study
wifi bill,Others
bought ring from supermarket,Shopping
magazine for coding,Study
eraser for data science,Study
metro rental to work,Transport
gas for vinasun,Transport
suv service,Transport
mai linh trip to school,Transport
concert ticket,Others
webinar for design,Study
had cold brew date,Food
train wash,Transport
cinema ticket,Others
car fare to downtown,Transport
ordered rice for lunch,Food
petrol for airline,Transport
new perfume shopping,Shopping
dentist fee,Others
new wallet shopping,Shopping
car cleaning,Transport
new earphones shopping,Shopping
coding challenge platform pro,Study
new razor shopping,Shopping
new conditioner shopping,Shopping
hospital fee,Others
car toll,Transport
bought book,Study
edx for data science,Study
sashimi at pizza hut,Food
eraser for business,Study
muffin at the coffee house,Food
bought novel,Study
gas for vinasun,Transport
udon at eatery,Food
new skirt shopping,Shopping
ordered fruit tea for breakfast,Food
petrol for train,Transport
bought soap from zara,Shopping
fish at starbucks,Food
bought duolingo,Study
gojek oil change,Transport
bun cha at supermarket,Food
bought class,Study
python school fee,Study
airline fare to station,Transport
bought magazine,Study
had udon with friends,Food
petrol for grab,Transport
ruler for business,Study
bought duolingo,Study
toeic for music,Study
bought slippers from amazon,Shopping
new trousers shopping,Shopping
hospital fee,Others
manicure fee,Others
notebook for art,Study
sedan ticket to mall,Transport
bought course,Study
had yogurt with family,Food
icloud subscription,Others
croissant at subway,Food
petrol for car,Transport
gas for uber,Transport
college application fee,Study
bought diary,Study
bought bracelet from shop,Shopping
new lipstick shopping,Shopping
pen for art,Study
metro maintenance,Transport
tempura at jollibee,Food
gojek toll,Transport
eraser for data science,Study
subway ride to airport,Transport
bought blazer from amazon,Shopping
bought cable from mall,Shopping
scientific calculator,Study
netflix subscription,Others
udemy for python,Study
magazine for coding,Study
enjoyed cocktail for breakfast,Food
conference registration fee,Study
bought lotion from chanel,Shopping
cable bill,Others
music printing,Study
mortgage bill,Others
paid for steak delivery,Food
design membership,Study
bowling ticket,Others
python exam fee,Study
paid for milk delivery,Food
oil for metro,Transport
mortgage bill,Others
new boots shopping,Shopping
hospital fee,Others
noodles at bistro,Food
toeic for business,Study
concert ticket,Others
doctor fee,Others
bought flower from amazon,Shopping
design software for students,Study
salon fee,Others
google drive subscription,Others
pedicure fee,Others
yoga subscription,Others
business certification fee,Study
dentist fee,Others
bus fare to home,Transport
enjoyed espresso takeout,Food
bought diary,Study
ate cold brew snack,Food
cold brew at gong cha,Food
ramen at street food,Food
tax bill,Others
bike fare to mall,Transport
bought smartphone from store,Shopping
new lotion shopping,Shopping
bought cream from store,Shopping
paid for pho with friends,Food
mai linh journey to mall,Transport
fuel for metro,Transport
pasta at diner,Food
tax bill,Others
bought notebook,Study
new lipstick shopping,Shopping
new trousers shopping,Shopping
office 365 subscription,Others
cab tire change,Transport
spotify subscription,Others
bought sunglasses from h&m,Shopping
new watch shopping,Shopping
bought pen from supermarket,Shopping
cross-country flight,Transport
motorcycle helmet purchase,Transport
steak at cafe,Food
subway ticket to work,Transport
new smartphone shopping,Shopping
bought necklace from gucci,Shopping
sedan ride to work,Transport
motorbike journey to work,Transport
paid for meat date,Food
course for business,Study
charging for metro,Transport
lesson for python,Study
new book shopping,Shopping
new trousers shopping,Shopping
bought monitor from tiki,Shopping
new smartphone shopping,Shopping
park ticket,Others
bought earrings from market,Shopping
comic for data science,Study
toeic for science,Study
ice cream at pizza hut,Food
python test fee,Study
dim sum at phuc long,Food
bought socks from adidas,Shopping
ramen at cafe,Food
bagel at starbucks,Food
edx for marketing,Study
newspaper subscription,Others
plane service,Transport
bought jeans from uniqlo,Shopping
had bun bo hue for dinner,Food
gojek fare to office,Transport
airline rental to home,Transport
bought comic,Study
gas for vinasun,Transport
cab maintenance,Transport
cinema ticket,Others
bought case from market,Shopping
had americano for breakfast,Food
youtube subscription,Others
pizza at pizza hut,Food
bought pho with friends,Food
new toy shopping,Shopping
new beanie shopping,Shopping
internet bill,Others
fuel for vinasun,Transport
mortgage bill,Others
billiards ticket,Others
magazine subscription,Others
loan bill,Others
be booking to airport,Transport
charging for grab,Transport
bus parking,Transport
google drive subscription,Others
datacamp for data science,Study
loan bill,Others
udon at street food,Food
dentist fee,Others
bun cha at starbucks,Food
new watch shopping,Shopping
water bill,Others
flight tire change,Transport
cleaning fee,Others
new heels shopping,Shopping
metro oil change,Transport
new cologne shopping,Shopping
vinasun tire change,Transport
new trousers shopping,Shopping
tv bill,Others
bought smartphone from uniqlo,Shopping
electricity bill,Others
drank bagel with family,Food
ate vegetables party,Food
paid for wine for breakfast,Food
magazine for programming,Study
bought flower from market,Shopping
bought t-shirt from chanel,Shopping
cable bill,Others
bought seminar,Study
motorbike parking,Transport
fuel for mai linh,Transport
bill for bibimbap alone,Food
charging for bus,Transport
bill for pasta date,Food
repair fee,Others
training for data science,Study
magazine subscription,Others
flight parking,Transport
tv bill,Others
mobile bill,Others
bought edx,Study
bought earphones from chanel,Shopping
car repair,Transport
had coffee alone,Food
bought tablet from uniqlo,Shopping
paid for ramen alone,Food
bought belt from gucci,Shopping
metro booking to airport,Transport
cocktail at eatery,Food
comic for data science,Study
seminar for marketing,Study
bought journal,Study
zoo ticket,Others
motorbike fare to home,Transport
new earphones shopping,Shopping
gojek wash,Transport
business exam fee,Study
concert ticket,Others
ate steak date,Food
new lotion shopping,Shopping
science test fee,Study
pasta at lotte,Food
bought shirt from zara,Shopping
bought datacamp,Study
fish at starbucks,Food
scooter maintenance,Transport
bike ride to airport,Transport
bought purse from shopee,Shopping
train booking to home,Transport
gas bill,Others
bowling ticket,Others
water bill,Others
magazine subscription,Others
spotify subscription,Others
scooter battery replacement,Transport
pen for coding,Study
drank cookie party,Food
bill for banh cuon takeout,Food
python tuition,Study
new belt shopping,Shopping
diesel for mai linh,Transport
vinasun cleaning,Transport
manicure fee,Others
toeic for marketing,Study
bought perfume from nike,Shopping
new trousers shopping,Shopping
gas for airline,Transport
cosmetics and makeup kit,Shopping
ordered fruit tea with friends,Food
bowling ticket,Others
bought jacket from chanel,Shopping
soju at 7-eleven,Food
ate cold brew snack,Food
notebook for python,Study
scooter fare to office,Transport
paid for americano meeting,Food
kfc fried chicken bucket,Food
mai linh ticket to station,Transport
bought bag from shop,Shopping
toefl for data science,Study
seminar for music,Study
lesson for python,Study
fruit tea at convenience store,Food
fuel for train,Transport
bun cha at dominos,Food
uber trip to school,Transport
pepsi at supermarket,Food
vinasun fare to downtown,Transport
mai linh booking to mall,Transport
bought class,Study
game ticket,Others
airline oil change,Transport
bus cleaning,Transport
toeic for music,Study
luxury perfume bottle,Shopping
bill for sushi with friends,Food
had tteokbokki for breakfast,Food
paid for latte with family,Food
ate croissant snack,Food
bought duolingo,Study
drank pasta party,Food
bill for juice snack,Food
had latte with family,Food
new shoes shopping,Shopping
be journey to home,Transport
bill for hu tieu meeting,Food
be toll,Transport
had noodles for dinner,Food
pepsi at bistro,Food
new dress shopping,Shopping
loan bill,Others
jewelry and earrings,Shopping
diesel for vinasun,Transport
gaming mouse and pad,Shopping
barber fee,Others
oil for metro,Transport
python school fee,Study
bought slippers from nike,Shopping
ticket ticket,Others
new smartphone shopping,Shopping
train trip trip,Transport
bus maintenance,Transport
flight journey to school,Transport
water bill,Others
bought coffee delivery,Food
ticket ticket,Others
netflix subscription,Others
ordered cookie delivery,Food
art tuition,Study
espresso at the coffee house,Food
juice at pizza hut,Food
cinema ticket,Others
bike ride to school,Transport
cable bill,Others
tv bill,Others
fuel for subway,Transport
marker for marketing,Study
oil for subway,Transport
new cream shopping,Shopping
vinasun tire change,Transport
data science exam fee,Study
new belt shopping,Shopping
metro toll,Transport
americano at diner,Food
bibimbap at highlands,Food
boba tea at 7-eleven,Food
cable bill,Others
bought planner,Study
bought perfume from store,Shopping
bought watch from supermarket,Shopping
edx for business,Study
sushi at lotte,Food
maintenance fee,Others
barber fee,Others
billiards ticket,Others
ordered yogurt with family,Food
bluetooth headphones,Shopping
udon at ministop,Food
new cologne shopping,Shopping
fuel for suv,Transport
science test fee,Study
bakery sourdough bread,Food
bought shoes from uniqlo,Shopping
oil for mai linh,Transport
milk tea at gong cha,Food
new hat shopping,Shopping
programming membership,Study
milk at supermarket,Food
paid for beer with family,Food
bought tie from amazon,Shopping
new jeans shopping,Shopping
enjoyed soda delivery,Food
cake at street food,Food
diesel for suv,Transport
bought journal,Study
bought lotion from shop,Shopping
bought watch from lazada,Shopping
airline service,Transport
bought backpack from zara,Shopping
bought blazer from supermarket,Shopping
ordered milk for lunch,Food
subway toll,Transport
muffin at cafe,Food
internet bill,Others
textbook for design,Study
bought shorts from supermarket,Shopping
cocktail at convenience store,Food
bought heels from tiki,Shopping
scooter parking,Transport
udon at starbucks,Food
workshop for data science,Study
new blouse shopping,Shopping
car trip trip,Transport
insurance bill,Others
airline parking,Transport
bill for rice with family,Food
drank smoothie takeout,Food
new earrings shopping,Shopping
bought jacket from uniqlo,Shopping
programming photocopy,Study
bus trip to downtown,Transport
bought heels from h&m,Shopping
bought comic,Study
bought coke for lunch,Food
bought soap from zara,Shopping
motorbike journey trip,Transport
massage fee,Others
drank vodka delivery,Food
sushi at kfc,Food
water bill,Others
course for programming,Study
sedan rental to work,Transport
electricity bill,Others
science exam fee,Study
new shorts shopping,Shopping
train rental to school,Transport
cable bill,Others
soju at bistro,Food
spotify subscription,Others
new flower shopping,Shopping
cookie at food court,Food
newspaper subscription,Others
duolingo plus subscription,Study
marker for english,Study
had bibimbap meeting,Food
bought bun bo hue takeout,Food
banh mi at pizza hut,Food
eggs at dominos,Food
ate banh mi for lunch,Food
movie ticket,Others
gojek fare to downtown,Transport
taxi journey to school,Transport
paid for cake party,Food
board game for family,Others
python photocopy,Study
petrol for vinasun,Transport
taxi cleaning,Transport
uber repair,Transport
metro ride to home,Transport
bought sunglasses from lazada,Shopping
ruler for science,Study
massage fee,Others
cold brew at eatery,Food
bought meat alone,Food
bought earphones from shop,Shopping
rice at subway,Food
new cable shopping,Shopping
tax bill,Others
paid for rice for dinner,Food
adobe subscription,Others
ate pasta with friends,Food
mortgage bill,Others
bought duolingo,Study
diary for coding,Study
ate soda party,Food
pedicure fee,Others
gojek cleaning,Transport
diesel for scooter,Transport
design exam fee,Study
datacamp for english,Study
new case shopping,Shopping
enjoyed vegetables date,Food
ate udon with friends,Food
pen for music,Study
new shirt shopping,Shopping
netflix subscription,Others
new headphones shopping,Shopping
new necklace shopping,Shopping
suv toll,Transport
magazine for business,Study
enjoyed pizza with family,Food
drank bun cha with family,Food
paid for steak meeting,Food
ate muffin date,Food
workshop for music,Study
fuel for grab,Transport
metro journey to station,Transport
football match ticket,Others
new t-shirt shopping,Shopping
bought udon takeout,Food
uber service,Transport
drank croissant snack,Food
match ticket,Others
airline ride to school,Transport
lesson for marketing,Study
drank fruits for lunch,Food
coursera for english,Study
bought webinar,Study
cable bill,Others
new sunglasses shopping,Shopping
game ticket,Others
ordered meat for lunch,Food
office 365 subscription,Others
bought belt from h&m,Shopping
bill for cake with family,Food
cable bill,Others
new purse shopping,Shopping
dentist fee,Others
tax bill,Others
internet bill,Others
bought ring from adidas,Shopping
wifi bill,Others
webinar for data science,Study
workshop for english,Study
new skirt shopping,Shopping
mobile bill,Others
bought calculator,Study
pay for laundry service,Others
ramen at texas chicken,Food
ice cream at diner,Food
google drive subscription,Others
music tuition,Study
new tie shopping,Shopping
magazine subscription,Others
new mouse shopping,Shopping
bed sheets and pillows,Shopping
bought dictionary,Study
ordered seafood party,Food
design membership,Study
book for science,Study
bought tie from uniqlo,Shopping
bill for seafood for lunch,Food
course for python,Study
sashimi at gong cha,Food
bought earphones from shop,Shopping
spotify subscription,Others
bought udemy,Study
drank seafood takeout,Food
had pho with friends,Food
journal for music,Study
seminar for music,Study
smoothie at cafe,Food
new purse shopping,Shopping
bought pen,Study
bought edx,Study
bought hoodie from zara,Shopping
new wallet shopping,Shopping
drank latte party,Food
bought hoodie from zara,Shopping
new suit shopping,Shopping
enjoyed coffee party,Food
netflix subscription,Others
espresso at family mart,Food
marketing exam fee,Study
programming printing,Study
new blazer shopping,Shopping
internet bill,Others
bought mouse from adidas,Shopping
cappuccino at supermarket,Food
gojek repair,Transport
mortgage bill,Others
scooter trip to work,Transport
fruit tea at pizza hut,Food
billiards ticket,Others
wifi bill,Others
had coke snack,Food
petrol for plane,Transport
wine at street food,Food
new pants shopping,Shopping
rice at circle k,Food
airline maintenance,Transport
ate eggs for lunch,Food
bought necklace from shopee,Shopping
new hat shopping,Shopping
eggs at mcdonalds,Food
pencil for marketing,Study
uber booking to work,Transport
pharmacy fee,Others
be parking,Transport
dumplings at eatery,Food
bowling ticket,Others
diesel for gojek,Transport
metro service,Transport
ordered fried chicken for dinner,Food
journal for marketing,Study
bought espresso delivery,Food
cake at dominos,Food
museum ticket,Others
new dress shopping,Shopping
paid for americano for dinner,Food
bought toeic,Study
tv bill,Others
edx for data science,Study
bill for vodka with family,Food
pharmacy fee,Others
adobe subscription,Others
sedan service,Transport
milk tea at lotte,Food
had hu tieu takeout,Food
cloud storage subscription,Others
bill for juice alone,Food
petrol for airline,Transport
enjoyed tempura with friends,Food
internet bill,Others
design subscription,Study
notebook for class,Study
bought shampoo from lazada,Shopping
mai linh fare to school,Transport
vinasun journey to home,Transport
ruler for business,Study
icloud subscription,Others
mai linh service,Transport
bought keyboard from amazon,Shopping
manicure fee,Others
bought novel,Study
ordered cookie for dinner,Food
new blouse shopping,Shopping
bought comic,Study
rent bill,Others
yoga class drop-in fee,Others
bought wallet from gucci,Shopping
bike booking to mall,Transport
business printing,Study
motorbike journey to mall,Transport
dentist fee,Others
bought glasses from zara,Shopping
enjoyed sashimi party,Food
ate beer snack,Food
gas for motorbike,Transport
motorbike ride to school,Transport
cable bill,Others
drank americano party,Food
com tam at street food,Food
new lotion shopping,Shopping
bought planner,Study
cable bill,Others
programming certification fee,Study
bought skirt from chanel,Shopping
billiards ticket,Others
wifi bill,Others
programming photocopy,Study
bought bracelet from gucci,Shopping
bought jeans from adidas,Shopping
bill for smoothie takeout,Food
bill for banh mi takeout,Food
ielts for music,Study
be journey to mall,Transport
science school fee,Study
shuttle bus service,Transport
paid for fish date,Food
mobile bill,Others
electric scooter rental,Transport
dim sum brunch on sunday,Food
datacamp for marketing,Study
marker for data science,Study
enjoyed meat for lunch,Food
